@relation agaricuslepiotatest1-weka.filters.unsupervised.attribute.Remove-R22-weka.filters.unsupervised.attribute.NumericToNominal-R21

@attribute cap-shape-bell numeric
@attribute cap-shape-conical numeric
@attribute cap-shape-convex numeric
@attribute cap-shape-flat numeric
@attribute cap-shape-knobbed numeric
@attribute cap-shape-sunken numeric
@attribute cap-surface-fibrous numeric
@attribute cap-surface-grooves numeric
@attribute cap-surface-scaly numeric
@attribute cap-surface-smooth numeric
@attribute cap-color-brown numeric
@attribute cap-color-buff numeric
@attribute cap-color-cinnamon numeric
@attribute cap-color-gray numeric
@attribute cap-color-green numeric
@attribute cap-color-pink numeric
@attribute cap-color-purple numeric
@attribute cap-color-red numeric
@attribute cap-color-white numeric
@attribute cap-color-yellow numeric
@attribute bruises?-bruises {0,1}
@attribute odor-almond numeric
@attribute odor-anise numeric
@attribute odor-creosote numeric
@attribute odor-fishy numeric
@attribute odor-foul numeric
@attribute odor-musty numeric
@attribute odor-none numeric
@attribute odor-pungent numeric
@attribute odor-spicy numeric
@attribute gill-attachment-attached numeric
@attribute gill-attachment-descending numeric
@attribute gill-attachment-free numeric
@attribute gill-attachment-notched numeric
@attribute gill-spacing-close numeric
@attribute gill-spacing-crowded numeric
@attribute gill-spacing-distant numeric
@attribute gill-size-broad numeric
@attribute gill-size-narrow numeric
@attribute gill-color-black numeric
@attribute gill-color-brown numeric
@attribute gill-color-buff numeric
@attribute gill-color-chocolate numeric
@attribute gill-color-gray numeric
@attribute gill-color-green numeric
@attribute gill-color-orange numeric
@attribute gill-color-pink numeric
@attribute gill-color-purple numeric
@attribute gill-color-red numeric
@attribute gill-color-white numeric
@attribute gill-color-yellow numeric
@attribute stalk-shape-enlarging numeric
@attribute stalk-shape-tapering numeric
@attribute stalk-root-bulbous numeric
@attribute stalk-root-club numeric
@attribute stalk-root-cup numeric
@attribute stalk-root-equal numeric
@attribute stalk-root-rhizomorphs numeric
@attribute stalk-root-rooted numeric
@attribute stalk-root-missing numeric
@attribute stalk-surface-above-ring-fibrous numeric
@attribute stalk-surface-above-ring-scaly numeric
@attribute stalk-surface-above-ring-silky numeric
@attribute stalk-surface-above-ring-smooth numeric
@attribute stalk-surface-below-ring-fibrous numeric
@attribute stalk-surface-below-ring-scaly numeric
@attribute stalk-surface-below-ring-silky numeric
@attribute stalk-surface-below-ring-smooth numeric
@attribute stalk-color-above-ring-brown numeric
@attribute stalk-color-above-ring-buff numeric
@attribute stalk-color-above-ring-cinnamon numeric
@attribute stalk-color-above-ring-gray numeric
@attribute stalk-color-above-ring-orange numeric
@attribute stalk-color-above-ring-pink numeric
@attribute stalk-color-above-ring-red numeric
@attribute stalk-color-above-ring-white numeric
@attribute stalk-color-above-ring-yellow numeric
@attribute stalk-color-below-ring-brown numeric
@attribute stalk-color-below-ring-buff numeric
@attribute stalk-color-below-ring-cinnamon numeric
@attribute stalk-color-below-ring-gray numeric
@attribute stalk-color-below-ring-orange numeric
@attribute stalk-color-below-ring-pink numeric
@attribute stalk-color-below-ring-red numeric
@attribute stalk-color-below-ring-white numeric
@attribute stalk-color-below-ring-yellow numeric
@attribute veil-type-partial numeric
@attribute veil-type-universal numeric
@attribute veil-color-brown numeric
@attribute veil-color-orange numeric
@attribute veil-color-white numeric
@attribute veil-color-yellow numeric
@attribute ring-number-none numeric
@attribute ring-number-one numeric
@attribute ring-number-two numeric
@attribute ring-type-cobwebby numeric
@attribute ring-type-evanescent numeric
@attribute ring-type-flaring numeric
@attribute ring-type-large numeric
@attribute ring-type-none numeric
@attribute ring-type-pendant numeric
@attribute ring-type-sheathing numeric
@attribute ring-type-zone numeric
@attribute spore-print-color-black numeric
@attribute spore-print-color-brown numeric
@attribute spore-print-color-buff numeric
@attribute spore-print-color-chocolate numeric
@attribute spore-print-color-green numeric
@attribute spore-print-color-orange numeric
@attribute spore-print-color-purple numeric
@attribute spore-print-color-white numeric
@attribute spore-print-color-yellow numeric
@attribute population-abundant numeric
@attribute population-clustered numeric
@attribute population-numerous numeric
@attribute population-scattered numeric
@attribute population-several numeric
@attribute population-solitary numeric
@attribute habitat-grasses numeric
@attribute habitat-leaves numeric
@attribute habitat-meadows numeric
@attribute habitat-paths numeric
@attribute habitat-urban numeric
@attribute habitat-waste numeric
@attribute habitat-woods numeric
@attribute poisonous numeric

@data
0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
